�����м�
[�˻�����]
�ڷᱸ�� : ��
�ڷ����� : �⺻
����/���� : ����
�Ⱓ : 20190801~20191031

��¥,����,������(mm)
2019-08-01,108,26.9
2019-08-02,108,
2019-08-03,108,3
2019-08-04,108,8.6
2019-08-05,108,
2019-08-06,108,
2019-08-07,108,8
2019-08-08,108,0
2019-08-09,108,
2019-08-10,108,
2019-08-11,108,6.7
2019-08-12,108,56.2
2019-08-13,108,6.4
2019-08-14,108,
2019-08-15,108,16.2
2019-08-16,108,0.1
2019-08-17,108,0
2019-08-18,108,
2019-08-19,108,
2019-08-20,108,
2019-08-21,108,1.3
2019-08-22,108,
2019-08-23,108,
2019-08-24,108,
2019-08-25,108,
2019-08-26,108,
2019-08-27,108,20
2019-08-28,108,
2019-08-29,108,36.9
2019-08-30,108,0.2
2019-08-31,108,
2019-09-01,108,
2019-09-02,108,
2019-09-03,108,0
2019-09-04,108,22.7
2019-09-05,108,36.4
2019-09-06,108,2.4
2019-09-07,108,2.8
2019-09-08,108,0
2019-09-09,108,0
2019-09-10,108,63.2
2019-09-11,108,7.6
2019-09-12,108,3.9
2019-09-13,108,0.1
2019-09-14,108,0.3
2019-09-15,108,
2019-09-16,108,
2019-09-17,108,
2019-09-18,108,
2019-09-19,108,
2019-09-20,108,
2019-09-21,108,
2019-09-22,108,0.4
2019-09-23,108,
2019-09-24,108,
2019-09-25,108,
2019-09-26,108,
2019-09-27,108,
2019-09-28,108,
2019-09-29,108,
2019-09-30,108,
2019-10-01,108,
2019-10-02,108,23.1
2019-10-03,108,4.6
2019-10-04,108,
2019-10-05,108,0.6
2019-10-06,108,
2019-10-07,108,25.4
2019-10-08,108,
2019-10-09,108,
2019-10-10,108,
2019-10-11,108,
2019-10-12,108,
2019-10-13,108,
2019-10-14,108,
2019-10-15,108,
2019-10-16,108,
2019-10-17,108,
2019-10-18,108,
2019-10-19,108,
2019-10-20,108,
2019-10-21,108,
2019-10-22,108,
2019-10-23,108,
2019-10-24,108,
2019-10-25,108,0
2019-10-26,108,
2019-10-27,108,
2019-10-28,108,1.7
2019-10-29,108,0.1
2019-10-30,108,
2019-10-31,108,
